# Excluded rare, archaic, obsolete, historical, or legacy guesses
# Source: C:\Users\T-Dawg\vswordle\UnknownMediocreTutorial\server\wordlists\allowed_words.txt
# All words marked as feasible secrets, or listed in allowed_secrets.txt, were protected.
# Reviewed terms were removed by explicit category.
# Other non-secret terms were removed when their source Frequency was below 1.
# Protected secret rows kept: 4164
# Modern zero-frequency exceptions kept: 23
# Total excluded rows: 4811
#
word	frequency	probability	plural	reason
azans	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azine	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azlon	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azoic	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azons	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azoth	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azurn	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azury	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azygy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azyme	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
azyms	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baaed	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baals	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
babus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baccy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baels	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baffs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baffy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bafts	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baghs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bagie	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bahus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bahut	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baisa	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baith	14124	0	0	reviewed: highly regional or legacy dialect form
baiza	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bajra	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bajri	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bajus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bakra	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
balds	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
balus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
